checkpoint,hours,days,years,speed_rpm,load_factor,bearing_temperature,wear_level,friction_coefficient,surface_roughness,lubrication_quality,temperature_history,measured_vibration,housing_temperature,motor_current,max_torque_Nm,pointing_jitter_arcsec
Day 1,24,1.0,0.0027397,3071.185864896132,1.02847434595,21.365883939231587,0.00018356705836032594,0.020697828190219297,0.32001835832046915,0.9997599370856627,20.09724120528072,0.010078410583789183,20.06386155593209,0.09907006321155507,0.04999082164708199,0.3015682116757836
Month 1,720,30.0,0.08219,2544.826527844609,0.8179306111,14.047873503628553,0.0050840936163594605,0.02612129978386611,0.3205096996385226,0.9937400507974515,14.824463213956754,0.01085117269773757,20.0640962320878,0.09994225298952925,0.04974579531918203,0.3170234539547514
Month 3,2160,90.0,0.2465,3143.346068342042,1.057338427,21.575986654402232,0.013698104668733191,0.034195531117775485,0.32137918701551915,0.9815243698372573,21.491841869133207,0.012064020389613218,20.108468747282046,0.11224651648817827,0.049315094766563344,0.3412804077922644
Month 6,4320,180.0,0.493,3274.6575935654464,1.1098630,14.795389457064678,0.02751787172707622,0.04698098829875022,0.3227896380318344,0.9623033779767357,15.98151004092345,0.01399408836118648,20.156427387123603,0.12615399502571353,0.048624106413646194,0.37988176722372957
Year 1,8760,365.0,1.0,3476.685897161054,1.1906743588,20.176185615643462,0.05618915874976307,0.07538206036907495,0.325776754542796,0.9211198511912134,18.83383680453799,0.018190145204893735,20.269266459199482,0.15862392385523183,0.04719054206251185,0.4638029040978747
Year 2,17520,730.0,2.0,2712.274000714828,0.884909600285,21.65187940723282,0.11641756417121815,0.1436524979085559,0.3323193609739837,0.8286444600618076,20.654622420050366,0.027884307625883176,20.381358423513007,0.1968874805645352,0.0441791217914391,0.6576861525176635
Year 3,26280,1095.0,3.0,2696.9845452784803,0.8787938181,21.952070682488458,0.1831607455093135,0.2,0.339993388418605,0.7214446079616617,21.300442674695905,0.03672596700967489,20.527276290866837,0.24181907271670883,0.04084196272453433,0.8345193401934978
Year 4,35040,1460.0,4.0,3470.625105442577,1.1882500421770308,20.98013094958627,0.26201481439976537,0.2,0.3496339475506125,0.5967676221411152,21.333507906289768,0.040554968904533494,20.712950025306217,0.2882375063265546,0.03689925928001173,0.9110993780906699
Year 5,43800,1825.0,5.0,3018.947728869738,1.0075790915478953,19.04891763735821,0.3573380595303462,0.2,0.3621181448998238,0.45380222024972544,20.14539523371049,0.04524179252420152,20.60454745492874,0.2611368637321843,0.032133097023482694,1.0048358504840305
Year 6,52560,2190.0,6.0,2517.938109337428,0.8071752437349713,16.780068498574835,0.47918050041234106,0.2,0.3793984597721854,0.2841485583511895,18.162246696591176,0.05132511220054662,20.484305146240985,0.2310762865602457,0.026040974979382948,1.1265022440109325
Year 7,61320,2555.0,7.0,3272.0232019554323,1.108809280782173,14.903902794748223,0.6493390749607559,0.2,0.4060154836668692,0.07947809052966416,16.121432270080746,0.05999464685511108,20.665285568469304,0.2763213921173259,0.017533046251962205,1.2998929371022216
Year 8,70080,2920.0,8.0,3317.869603713205,1.127147841485282,14.024339018241289,0.9051116088385479,0.2,0.4514715845046837,0.0,14.729313360840727,0.07340747526886979,20.67628870489117,0.2790721762227923,0.004744419558072605,1.568149505377396
Year 9,78840,3285.0,9.0,2536.1117776706506,0.8144447110682602,14.424499725212952,1.0,0.2,0.4709100605199915,0.0,14.642295971116397,0.07856370423639941,20.488666826640955,0.23216670666023903,0.0,1.6712740847279883
Year 10,87600,3650.0,10.0,2962.131762220298,0.9848527048881192,15.975577289362239,1.0,0.2,0.4702451498292059,0.0,15.177305244142659,0.07851716048804441,20.59091162293287,0.25772790573321785,0.0,1.6703432097608883
